DATE,PCU3313153313150
2015-01-01,187.5
2015-02-01,188.1
2015-03-01,187.6
2015-04-01,185.7
2015-05-01,184.0
2015-06-01,178.8
2015-07-01,175.4
2015-08-01,173.2
2015-09-01,172.1
2015-10-01,172.1
2015-11-01,169.4
2015-12-01,169.0
2016-01-01,169.2
2016-02-01,168.5
2016-03-01,169.1
2016-04-01,168.1
2016-05-01,169.8
2016-06-01,169.9
2016-07-01,171.0
2016-08-01,171.1
2016-09-01,170.2
2016-10-01,171.4
2016-11-01,174.1
2016-12-01,177.0
2017-01-01,176.8
2017-02-01,181.1
2017-03-01,183.7
2017-04-01,186.4
2017-05-01,186.5
2017-06-01,185.5
2017-07-01,183.5
2017-08-01,186.6
2017-09-01,190.8
2017-10-01,194.4
2017-11-01,195.1
2017-12-01,193.5
2018-01-01,196.2
2018-02-01,199.4
2018-03-01,205.6
2018-04-01,209.2
2018-05-01,219.8
2018-06-01,224.4
2018-07-01,215.1
2018-08-01,214.8
2018-09-01,212.8
2018-10-01,212.8
2018-11-01,209.1
2018-12-01,208.7
2019-01-01,208.3
2019-02-01,207.7
2019-03-01,208.1
2019-04-01,209.8
2019-05-01,207.3
2019-06-01,205.8
2019-07-01,205.7
2019-08-01,199.7
2019-09-01,199.2
2019-10-01,197.9
2019-11-01,194.7
2019-12-01,195.1
2020-01-01,196.8
2020-02-01,189.1
2020-03-01,187.5
2020-04-01,176.0
2020-05-01,170.0
2020-06-01,167.9
2020-07-01,169.7
2020-08-01,173.7
2020-09-01,180.7
2020-10-01,179.4
2020-11-01,180.2
2020-12-01,187.2
