DATE,WPU13110511
2015-01-01,86.0
2015-02-01,87.1
2015-03-01,88.2
2015-04-01,85.7
2015-05-01,85.4
2015-06-01,86.3
2015-07-01,87.6
2015-08-01,89.6
2015-09-01,88.6
2015-10-01,88.5
2015-11-01,89.1
2015-12-01,90.7
2016-01-01,93.3
2016-02-01,93.0
2016-03-01,93.0
2016-04-01,93.8
2016-05-01,93.5
2016-06-01,93.8
2016-07-01,94.7
2016-08-01,93.4
2016-09-01,93.9
2016-10-01,94.3
2016-11-01,94.2
2016-12-01,94.3
2017-01-01,94.6
2017-02-01,94.6
2017-03-01,94.7
2017-04-01,94.6
2017-05-01,94.4
2017-06-01,94.4
2017-07-01,94.4
2017-08-01,94.4
2017-09-01,94.4
2017-10-01,95.1
2017-11-01,95.4
2017-12-01,98.5
2018-01-01,101.0
2018-02-01,101.3
2018-03-01,101.5
2018-04-01,102.0
2018-05-01,101.8
2018-06-01,101.7
2018-07-01,101.3
2018-08-01,101.5
2018-09-01,101.5
2018-10-01,101.4
2018-11-01,101.4
2018-12-01,101.3
2019-01-01,103.3
2019-02-01,103.1
2019-03-01,103.0
2019-04-01,103.1
2019-05-01,103.0
2019-06-01,102.7
2019-07-01,103.2
2019-08-01,103.4
2019-09-01,103.8
2019-10-01,103.4
2019-11-01,103.6
2019-12-01,103.1
2020-01-01,102.7
2020-02-01,103.3
2020-03-01,103.0
2020-04-01,103.1
2020-05-01,103.0
2020-06-01,103.1
2020-07-01,103.0
2020-08-01,103.1
2020-09-01,103.1
2020-10-01,103.1
2020-11-01,103.2
2020-12-01,105.7
