DATE,WPU101707
2015-01-01,220.0
2015-02-01,213.7
2015-03-01,206.6
2015-04-01,199.8
2015-05-01,196.8
2015-06-01,196.4
2015-07-01,194.2
2015-08-01,192.8
2015-09-01,190.4
2015-10-01,186.0
2015-11-01,181.2
2015-12-01,176.2
2016-01-01,173.9
2016-02-01,170.3
2016-03-01,173.7
2016-04-01,181.4
2016-05-01,186.7
2016-06-01,193.6
2016-07-01,198.2
2016-08-01,209.8
2016-09-01,209.8
2016-10-01,208.7
2016-11-01,208.8
2016-12-01,206.5
2017-01-01,210.4
2017-02-01,219.6
2017-03-01,222.3
2017-04-01,224.3
2017-05-01,229.3
2017-06-01,230.4
2017-07-01,242.9
2017-08-01,219.8
2017-09-01,219.0
2017-10-01,217.4
2017-11-01,215.0
2017-12-01,216.3
2018-01-01,211.5
2018-02-01,221.2
2018-03-01,224.4
2018-04-01,229.2
2018-05-01,237.8
2018-06-01,245.1
2018-07-01,247.5
2018-08-01,252.3
2018-09-01,252.0
2018-10-01,250.6
2018-11-01,246.1
2018-12-01,246.8
2019-01-01,245.5
2019-02-01,236.0
2019-03-01,235.5
2019-04-01,236.2
2019-05-01,233.7
2019-06-01,227.5
2019-07-01,225.6
2019-08-01,224.1
2019-09-01,219.8
2019-10-01,218.1
2019-11-01,216.1
2019-12-01,218.2
2020-01-01,218.6
2020-02-01,212.0
2020-03-01,216.5
2020-04-01,212.9
2020-05-01,209.7
2020-06-01,206.9
2020-07-01,206.6
2020-08-01,197.3
2020-09-01,198.8
2020-10-01,196.8
2020-11-01,204.6
2020-12-01,245.8
