DATE,WPU071201
2015-01-01,147.7
2015-02-01,147.1
2015-03-01,147.3
2015-04-01,147.1
2015-05-01,147.2
2015-06-01,147.2
2015-07-01,146.8
2015-08-01,146.7
2015-09-01,146.7
2015-10-01,143.3
2015-11-01,143.2
2015-12-01,142.8
2016-01-01,144.1
2016-02-01,144.0
2016-03-01,144.0
2016-04-01,143.9
2016-05-01,143.6
2016-06-01,143.9
2016-07-01,143.5
2016-08-01,143.5
2016-09-01,143.7
2016-10-01,143.5
2016-11-01,143.5
2016-12-01,143.5
2017-01-01,141.8
2017-02-01,142.9
2017-03-01,143.2
2017-04-01,143.2
2017-05-01,146.1
2017-06-01,145.4
2017-07-01,146.0
2017-08-01,147.1
2017-09-01,146.6
2017-10-01,147.0
2017-11-01,147.5
2017-12-01,146.3
2018-01-01,147.3
2018-02-01,146.9
2018-03-01,147.0
2018-04-01,147.3
2018-05-01,146.3
2018-06-01,146.0
2018-07-01,145.9
2018-08-01,146.5
2018-09-01,146.8
2018-10-01,148.6
2018-11-01,147.9
2018-12-01,148.1
2019-01-01,149.4
2019-02-01,148.7
2019-03-01,149.6
2019-04-01,148.8
2019-05-01,148.3
2019-06-01,147.8
2019-07-01,148.3
2019-08-01,148.0
2019-09-01,148.7
2019-10-01,148.7
2019-11-01,149.5
2019-12-01,148.8
2020-01-01,148.2
2020-02-01,148.5
2020-03-01,148.5
2020-04-01,149.8
2020-05-01,149.6
2020-06-01,149.5
2020-07-01,149.5
2020-08-01,149.5
2020-09-01,149.5
2020-10-01,149.3
2020-11-01,149.2
2020-12-01,149.2
